user_id,variant,completed,pre_completion_rate,time_to_complete,support_ticket,form_error,region,device,age,digital_literacy
A000000,control,0,0.334,163.0,0,0,Qassim,android,64,0.359
A000001,treatment,0,0.407,144.0,0,0,Northern Borders,android,51,0.308
A000002,control,0,0.373,259.0,0,0,Eastern,android,47,0.378
A000003,treatment,0,0.474,160.0,0,0,Tabuk,android,29,0.425
A000004,control,1,0.722,239.0,0,0,Madinah,android,69,0.496
A000005,control,0,0.354,151.0,0,0,Madinah,ios,66,0.486
A000006,treatment,1,0.423,88.0,0,0,Jazan,android,52,0.378
A000007,control,0,0.215,108.0,0,0,Jazan,android,27,0.175
A000008,treatment,1,0.415,162.0,0,0,Northern Borders,web,38,0.546
A000009,treatment,0,0.66,197.0,0,0,Tabuk,ios,42,0.477
A000010,treatment,0,0.407,140.0,0,0,Asir,ios,61,0.416
A000011,control,0,0.191,121.0,0,0,Al Jawf,android,60,0.085
A000012,treatment,1,0.347,114.0,0,0,Makkah,ios,24,0.378
A000013,control,1,0.738,192.0,0,0,Najran,ios,41,0.812
A000014,treatment,0,0.647,107.0,0,0,Najran,ios,35,0.679
A000015,control,0,0.671,286.0,0,0,Qassim,ios,51,0.695
A000016,treatment,0,0.219,126.0,0,0,Jazan,android,29,0.112
A000017,control,1,0.58,114.0,0,0,Riyadh,android,34,0.447
A000018,control,0,0.685,150.0,0,0,Hail,web,62,0.781
A000019,control,0,0.564,97.0,0,0,Jazan,ios,44,0.66
A000020,treatment,1,0.445,128.0,0,0,Al Jawf,ios,56,0.302
A000021,treatment,1,0.701,169.0,0,0,Northern Borders,android,63,0.753
A000022,treatment,1,0.765,82.0,0,1,Najran,android,31,0.802
A000023,control,0,0.481,177.0,0,0,Makkah,android,20,0.425
A000024,control,1,0.382,109.0,0,0,Qassim,android,49,0.301
A000025,treatment,1,0.461,97.0,0,1,Madinah,ios,67,0.456
A000026,treatment,0,0.111,69.0,0,0,Tabuk,web,30,0.205
A000027,treatment,0,0.376,136.0,1,0,Hail,android,22,0.354
A000028,treatment,0,0.273,72.0,0,0,Tabuk,ios,59,0.236
A000029,control,1,0.707,106.0,0,0,Jazan,web,53,0.76
A000030,control,0,0.46,140.0,0,0,Northern Borders,android,20,0.408
A000031,treatment,1,0.758,85.0,0,0,Qassim,ios,25,0.795
A000032,treatment,1,0.428,102.0,0,0,Qassim,android,22,0.424
A000033,control,1,0.614,189.0,0,0,Qassim,android,52,0.725
A000034,control,0,0.107,125.0,0,0,Eastern,android,49,0.228
A000035,treatment,1,0.466,100.0,0,0,Al Bahah,web,51,0.409
A000036,treatment,0,0.336,117.0,0,0,Tabuk,android,49,0.239
A000037,treatment,0,0.528,67.0,1,0,Jazan,android,20,0.576
