user_id,variant,completed,pre_completion_rate,time_to_complete,support_ticket,upload_error,region,device,age,digital_literacy
E000000,control,1,0.6,211.0,0,0,Madinah,ios,37,0.669
E000001,treatment,0,0.093,172.0,0,0,Asir,android,41,0.147
E000002,treatment,0,0.388,103.0,0,0,Makkah,android,67,0.383
E000003,treatment,0,0.244,134.0,0,0,Riyadh,web,69,0.238
E000004,treatment,0,0.497,101.0,0,0,Makkah,android,23,0.262
E000005,control,0,0.418,128.0,0,0,Makkah,android,36,0.522
E000006,control,0,0.425,107.0,0,0,Riyadh,web,51,0.426
E000007,treatment,1,0.697,129.0,0,0,Najran,android,22,0.898
E000008,treatment,1,0.742,134.0,0,0,Asir,android,27,0.821
E000009,treatment,1,0.258,257.0,0,0,Riyadh,android,65,0.316
E000010,treatment,0,0.664,303.0,0,0,Hail,web,33,0.505
E000011,control,0,0.217,220.0,0,0,Eastern,ios,48,0.091
E000012,treatment,1,0.57,188.0,0,1,Makkah,android,54,0.732
E000013,treatment,1,0.601,257.0,0,0,Eastern,ios,41,0.638
E000014,treatment,1,0.759,143.0,0,0,Riyadh,ios,43,0.773
E000015,treatment,1,0.784,156.0,0,0,Asir,web,22,0.608
E000016,treatment,1,0.74,118.0,0,0,Makkah,web,47,0.787
E000017,treatment,1,0.662,193.0,0,0,Riyadh,ios,26,0.52
E000018,control,0,0.489,290.0,0,0,Qassim,android,20,0.385
E000019,treatment,0,0.613,316.0,0,0,Riyadh,web,38,0.724
E000020,treatment,0,0.274,84.0,0,0,Qassim,android,66,0.289
E000021,treatment,0,0.595,77.0,0,0,Makkah,android,58,0.639
E000022,control,1,0.577,119.0,0,0,Riyadh,web,67,0.537
E000023,control,0,0.19,124.0,0,0,Al Bahah,android,47,0.162
E000024,control,0,0.307,100.0,0,0,Makkah,web,29,0.39
E000025,control,1,0.985,98.0,0,0,Makkah,ios,36,0.984
E000026,treatment,0,0.057,218.0,0,0,Madinah,ios,34,0.174
E000027,control,0,0.688,231.0,0,0,Riyadh,web,43,0.522
