region,month,activation_month,treated_post,completion_rate,sessions
Riyadh,1,10,0,0.4822,9148
Riyadh,2,10,0,0.4641,11470
Riyadh,3,10,0,0.4766,12587
Riyadh,4,10,0,0.4826,16317
Riyadh,5,10,0,0.4825,28547
Riyadh,6,10,0,0.48,20903
Riyadh,7,10,0,0.4801,27239
Riyadh,8,10,0,0.4638,26422
Riyadh,9,10,0,0.4914,4969
Riyadh,10,10,1,0.5317,9854
Riyadh,11,10,1,0.5288,28333
Riyadh,12,10,1,0.5322,18789
Riyadh,13,10,1,0.5441,15264
Riyadh,14,10,1,0.5659,25487
Riyadh,15,10,1,0.5583,21374
Riyadh,16,10,1,0.5865,13829
Riyadh,17,10,1,0.5587,20801
Riyadh,18,10,1,0.5748,21331
Riyadh,19,10,1,0.5887,6017
Riyadh,20,10,1,0.5847,27777
Riyadh,21,10,1,0.5701,19196
Riyadh,22,10,1,0.5853,24072
Riyadh,23,10,1,0.5616,27579
Riyadh,24,10,1,0.5922,10288
Makkah,1,10,0,0.4223,20064
Makkah,2,10,0,0.446,19335
Makkah,3,10,0,0.4505,10482
Makkah,4,10,0,0.4567,27407
Makkah,5,10,0,0.4418,7703
Makkah,6,10,0,0.4405,24854
Makkah,7,10,0,0.4503,8091
Makkah,8,10,0,0.4469,14013
Makkah,9,10,0,0.4344,15610
Makkah,10,10,1,0.5103,21918
Makkah,11,10,1,0.4906,12477
Makkah,12,10,1,0.5182,14914
Makkah,13,10,1,0.4994,18428
Makkah,14,10,1,0.5073,10448
Makkah,15,10,1,0.5216,15627
Makkah,16,10,1,0.5269,23507
Makkah,17,10,1,0.5497,15097
Makkah,18,10,1,0.5309,13809
Makkah,19,10,1,0.5293,21225
Makkah,20,10,1,0.5297,29820
Makkah,21,10,1,0.5135,7475
Makkah,22,10,1,0.553,18278
Makkah,23,10,1,0.5438,18461
Makkah,24,10,1,0.551,4518
Madinah,1,10,0,0.4583,9476
Madinah,2,10,0,0.4479,7979
Madinah,3,10,0,0.4739,28005
Madinah,4,10,0,0.4714,22753
Madinah,5,10,0,0.4758,25820
Madinah,6,10,0,0.4829,16031
Madinah,7,10,0,0.4631,8896
Madinah,8,10,0,0.4809,7559
Madinah,9,10,0,0.4761,11177
Madinah,10,10,1,0.5065,7527
Madinah,11,10,1,0.5321,28139
Madinah,12,10,1,0.5383,16922
Madinah,13,10,1,0.5629,29950
Madinah,14,10,1,0.5421,8080
Madinah,15,10,1,0.5579,12322
Madinah,16,10,1,0.5677,28259
Madinah,17,10,1,0.5741,23591
Madinah,18,10,1,0.5767,9458
Madinah,19,10,1,0.5674,24999
Madinah,20,10,1,0.5851,13101
Madinah,21,10,1,0.5722,27109
Madinah,22,10,1,0.5684,15311
Madinah,23,10,1,0.5901,7247
Madinah,24,10,1,0.5853,22906
Qassim,1,10,0,0.3875,19055
Qassim,2,10,0,0.4359,21795
Qassim,3,10,0,0.4087,12229
Qassim,4,10,0,0.4087,17180
Qassim,5,10,0,0.4311,20438
Qassim,6,10,0,0.4236,16209
Qassim,7,10,0,0.4169,24705
Qassim,8,10,0,0.3973,8901
Qassim,9,10,0,0.4145,19943
Qassim,10,10,1,0.4436,4887
Qassim,11,10,1,0.4588,8594
Qassim,12,10,1,0.467,24225
Qassim,13,10,1,0.4516,27442
Qassim,14,10,1,0.4919,23047
Qassim,15,10,1,0.4933,9193
Qassim,16,10,1,0.4953,18077
Qassim,17,10,1,0.5078,6740
Qassim,18,10,1,0.4908,8473
Qassim,19,10,1,0.508,22582
Qassim,20,10,1,0.4842,19316
Qassim,21,10,1,0.5006,27965
Qassim,22,10,1,0.4951,25125
Qassim,23,10,1,0.5209,11963
Qassim,24,10,1,0.5169,11017
Eastern,1,14,0,0.4757,19038
Eastern,2,14,0,0.4869,14530
Eastern,3,14,0,0.4742,26199
Eastern,4,14,0,0.4881,21008
Eastern,5,14,0,0.4829,14278
Eastern,6,14,0,0.4772,23688
Eastern,7,14,0,0.4939,16508
Eastern,8,14,0,0.4841,9664
Eastern,9,14,0,0.465,6286
Eastern,10,14,0,0.5039,22279
Eastern,11,14,0,0.4826,14377
Eastern,12,14,0,0.5188,26955
Eastern,13,14,0,0.519,24022
Eastern,14,14,1,0.5453,10414
Eastern,15,14,1,0.5594,14194
Eastern,16,14,1,0.57,28771
Eastern,17,14,1,0.5598,5032
Eastern,18,14,1,0.5677,14977
Eastern,19,14,1,0.5655,5288
Eastern,20,14,1,0.5675,19243
Eastern,21,14,1,0.5369,26554
Eastern,22,14,1,0.5645,12737
Eastern,23,14,1,0.5803,26833
Eastern,24,14,1,0.5474,22989
Asir,1,14,0,0.4258,15373
Asir,2,14,0,0.4377,27389
Asir,3,14,0,0.4491,21953
Asir,4,14,0,0.4384,23964
Asir,5,14,0,0.4209,19142
Asir,6,14,0,0.444,13304
Asir,7,14,0,0.4679,9814
Asir,8,14,0,0.436,26752
Asir,9,14,0,0.443,4751
Asir,10,14,0,0.421,10330
Asir,11,14,0,0.4558,24464
Asir,12,14,0,0.4592,22253
Asir,13,14,0,0.4481,5038
Asir,14,14,1,0.5,5027
Asir,15,14,1,0.5122,17601
Asir,16,14,1,0.53,12780
Asir,17,14,1,0.5303,18534
Asir,18,14,1,0.5224,7268
Asir,19,14,1,0.525,27104
Asir,20,14,1,0.5279,25435
Asir,21,14,1,0.5409,11604
Asir,22,14,1,0.5164,16194
Asir,23,14,1,0.4961,13637
Asir,24,14,1,0.541,14107
Tabuk,1,14,0,0.5479,12004
Tabuk,2,14,0,0.558,28172
Tabuk,3,14,0,0.541,5544
Tabuk,4,14,0,0.5439,11167
Tabuk,5,14,0,0.5501,12593
Tabuk,6,14,0,0.5272,19806
Tabuk,7,14,0,0.5639,22979
Tabuk,8,14,0,0.5412,20345
Tabuk,9,14,0,0.5497,27609
Tabuk,10,14,0,0.5461,26299
Tabuk,11,14,0,0.5738,21591
Tabuk,12,14,0,0.5611,27560
Tabuk,13,14,0,0.584,13481
Tabuk,14,14,1,0.6157,27111
Tabuk,15,14,1,0.6203,11596
Tabuk,16,14,1,0.6125,8766
Tabuk,17,14,1,0.6248,24419
Tabuk,18,14,1,0.6206,8380
Tabuk,19,14,1,0.6374,17738
Tabuk,20,14,1,0.6571,6010
Tabuk,21,14,1,0.6187,20839
Tabuk,22,14,1,0.6331,15510
Tabuk,23,14,1,0.6359,8496
Tabuk,24,14,1,0.6209,20164
Hail,1,14,0,0.4725,18389
Hail,2,14,0,0.4825,29739
Hail,3,14,0,0.4865,20129
Hail,4,14,0,0.5115,16445
Hail,5,14,0,0.5242,11729
Hail,6,14,0,0.5401,7066
Hail,7,14,0,0.5123,29187
Hail,8,14,0,0.5199,5020
Hail,9,14,0,0.5009,5628
Hail,10,14,0,0.5145,17153
Hail,11,14,0,0.4915,29380
Hail,12,14,0,0.508,4115
Hail,13,14,0,0.54,23549
Hail,14,14,1,0.5948,29048
Hail,15,14,1,0.5714,25706
Hail,16,14,1,0.6033,20404
Hail,17,14,1,0.5843,7093
Hail,18,14,1,0.5862,29443
Hail,19,14,1,0.5807,26059
Hail,20,14,1,0.5876,27460
Hail,21,14,1,0.5966,7389
Hail,22,14,1,0.6015,8048
Hail,23,14,1,0.6053,11031
Hail,24,14,1,0.6094,23730
Northern Borders,1,18,0,0.4395,27565
