user_id,age,digital_literacy,region,region_code,prior_completions,device_age,distance_km,online_filing,enrolled,support_calls,completed
U000000,27,0.62,Qassim,3,6,0.4,18.9,1,1,1,1
U000001,51,0.327,Riyadh,0,4,0.9,21.9,0,1,0,0
U000002,40,0.463,Al Jawf,12,4,2.5,7.9,0,1,0,0
U000003,54,0.082,Riyadh,0,0,2.1,26.0,1,0,1,1
U000004,29,0.521,Eastern,4,1,2.4,27.7,1,0,1,1
U000005,39,0.349,Al Jawf,12,1,2.9,29.4,1,1,3,1
U000006,23,0.029,Riyadh,0,2,2.5,12.3,1,0,0,1
U000007,38,0.812,Riyadh,0,3,0.0,10.0,1,0,0,1
U000008,55,0.225,Eastern,4,2,1.6,35.3,1,1,1,0
U000009,38,0.392,Makkah,1,1,3.2,49.0,1,0,2,0
U000010,36,0.465,Hail,7,4,2.8,34.3,1,1,2,1
U000011,61,0.757,Makkah,1,4,0.0,12.6,1,0,1,1
U000012,43,0.575,Jazan,9,6,4.6,23.8,1,1,1,0
U000013,62,0.732,Eastern,4,3,4.5,19.5,1,1,1,0
U000014,59,0.496,Northern Borders,8,1,0.6,19.0,1,1,2,1
U000015,22,0.304,Qassim,3,4,2.5,35.8,1,0,1,1
U000016,55,0.061,Makkah,1,1,2.3,37.1,1,0,0,0
U000017,31,0.045,Riyadh,0,3,3.0,6.9,1,0,1,0
U000018,40,0.689,Riyadh,0,5,1.7,4.8,1,1,2,1
U000019,20,0.653,Riyadh,0,9,2.3,2.9,0,1,0,1
U000020,57,0.733,Makkah,1,2,0.3,18.3,1,0,1,1
U000021,69,0.935,Riyadh,0,4,2.5,15.2,1,1,1,1
U000022,18,0.668,Qassim,3,5,0.4,25.8,1,0,0,1
U000023,59,0.329,Makkah,1,1,2.8,14.8,1,0,1,1
U000024,32,0.03,Eastern,4,1,2.7,4.4,0,0,0,0
U000025,34,0.173,Riyadh,0,1,2.9,34.5,1,0,1,0
U000026,68,0.198,Riyadh,0,2,1.6,22.8,1,0,0,1
U000027,37,0.25,Makkah,1,3,4.2,15.4,1,1,1,1
U000028,68,0.369,Madinah,2,7,1.3,7.0,1,0,0,1
U000029,33,0.521,Qassim,3,6,4.4,16.2,0,1,1,1
U000030,24,0.903,Riyadh,0,5,1.5,19.4,1,1,1,1
U000031,69,0.337,Tabuk,6,4,3.3,47.8,1,1,2,1
U000032,49,0.334,Makkah,1,0,2.2,56.8,1,0,1,0
U000033,36,0.535,Riyadh,0,4,2.5,22.0,1,1,3,1
U000034,36,0.545,Makkah,1,6,1.8,30.9,1,0,0,1
U000035,33,0.795,Riyadh,0,2,0.6,22.8,1,1,1,1
U000036,41,0.085,Eastern,4,1,5.1,15.1,0,0,0,0
U000037,63,0.671,Riyadh,0,5,2.3,2.6,1,1,0,0
U000038,61,0.318,Eastern,4,3,3.9,19.9,1,1,1,1
U000039,65,0.586,Jazan,9,1,0.7,20.4,1,0,1,1
U000040,24,0.188,Madinah,2,3,3.4,13.4,1,0,1,1
U000041,39,0.949,Tabuk,6,4,1.2,32.0,1,1,2,1
U000042,25,0.239,Riyadh,0,2,1.9,6.1,1,0,1,0
U000043,65,0.635,Najran,10,2,2.7,22.0,1,0,1,1
U000044,64,0.626,Najran,10,4,2.1,18.4,1,1,1,1
U000045,30,0.599,Riyadh,0,3,1.5,27.7,1,1,1,0
U000046,24,0.453,Al Jawf,12,3,2.3,30.8,1,0,1,0
U000047,65,0.919,Eastern,4,5,0.8,43.4,1,0,1,0
U000048,66,0.09,Riyadh,0,2,4.3,24.3,1,0,1,0
U000049,67,0.609,Hail,7,3,3.1,35.5,1,1,1,0
U000050,59,0.619,Madinah,2,3,0.0,48.6,1,0,1,1
U000051,29,0.326,Makkah,1,0,0.7,26.0,1,0,0,0
U000052,69,0.365,Riyadh,0,5,3.8,12.0,1,0,1,1
